date,code
2013-10-11,768
2013-10-11,830
2013-10-11,839
2013-10-11,910
2013-10-11,961
2013-10-11,969
2013-10-11,988
2013-10-11,990
2013-10-11,2007
2013-10-11,2028
2013-10-11,2078
2013-10-11,2092
2013-10-11,2106
2013-10-11,2187
2013-10-11,2244
2013-10-11,2294
2013-10-11,2323
2013-10-11,2340
2013-10-11,2393
2013-10-11,300069
2013-10-11,300173
2013-10-14,600006
2013-10-14,600050
2013-10-14,600067
2013-10-14,600191
2013-10-14,600252
2013-10-14,600269
2013-10-14,600271
2013-10-14,600295
2013-10-14,600551
2013-10-14,600584
2013-10-14,600585
2013-10-14,600601
2013-10-14,600623
2013-10-14,600635
2013-10-14,600643
2013-10-14,600747
2013-10-14,600748
2013-10-14,600749
2013-10-14,600776
2013-10-14,600782
2013-10-14,600816
2013-10-14,600830
2013-10-14,600880
2013-10-14,600881
2013-10-14,600987
2013-10-14,601000
2013-10-14,601098
2013-10-14,601727
2013-10-14,601991
2013-10-14,301
2013-10-14,402
2013-10-14,521
2013-10-14,563
2013-10-14,572
2013-10-14,589
2013-10-14,596
2013-10-14,601
2013-10-14,768
2013-10-14,830
2013-10-14,839
2013-10-14,910
2013-10-14,961
2013-10-14,969
2013-10-14,988
2013-10-14,990
2013-10-14,2007
2013-10-14,2028
2013-10-14,2078
2013-10-14,2092
2013-10-14,2106
2013-10-14,2187
2013-10-14,2244
2013-10-14,2294
2013-10-14,2323
2013-10-14,2340
2013-10-14,2393
2013-10-14,300069
2013-10-14,300173
2013-10-15,600006
2013-10-15,600050
2013-10-15,600067
2013-10-15,600191
2013-10-15,600252
2013-10-15,600269
2013-10-15,600271
2013-10-15,600295
2013-10-15,600551
2013-10-15,600584
2013-10-15,600585
2013-10-15,600601
2013-10-15,600623
2013-10-15,600635
2013-10-15,600643
2013-10-15,600747
2013-10-15,600748
2013-10-15,600749
2013-10-15,600776
2013-10-15,600782
2013-10-15,600816
2013-10-15,600830
2013-10-15,600880
2013-10-15,600881
2013-10-15,600987
2013-10-15,601000
2013-10-15,601098
2013-10-15,601727
2013-10-15,601991
2013-10-15,301
2013-10-15,402
2013-10-15,521
2013-10-15,563
2013-10-15,572
2013-10-15,589
2013-10-15,596
2013-10-15,601
2013-10-15,768
2013-10-15,830
2013-10-15,839
2013-10-15,910
2013-10-15,961
2013-10-15,969
2013-10-15,988
2013-10-15,990
2013-10-15,2007
2013-10-15,2028
2013-10-15,2078
2013-10-15,2092
2013-10-15,2106
2013-10-15,2187
2013-10-15,2244
2013-10-15,2294
2013-10-15,2323
2013-10-15,2340
2013-10-15,2393
2013-10-15,300069
2013-10-15,300173
2013-10-16,600006
2013-10-16,600050
2013-10-16,600067
2013-10-16,600191
2013-10-16,600252
2013-10-16,600269
2013-10-16,600271
2013-10-16,600295
2013-10-16,600551
2013-10-16,600584
2013-10-16,600585
2013-10-16,600601
2013-10-16,600623
2013-10-16,600635
2013-10-16,600643
2013-10-16,600747
2013-10-16,600748
2013-10-16,600749
2013-10-16,600776
2013-10-16,600782
2013-10-16,600816
2013-10-16,600830
2013-10-16,600880
2013-10-16,600881
2013-10-16,600987
2013-10-16,601000
2013-10-16,601098
2013-10-16,601727
2013-10-16,601991
2013-10-16,301
2013-10-16,402
2013-10-16,521
2013-10-16,563
2013-10-16,572
2013-10-16,589
2013-10-16,596
2013-10-16,601
2013-10-16,768
2013-10-16,830
2013-10-16,839
2013-10-16,910
2013-10-16,961
2013-10-16,969
2013-10-16,988
2013-10-16,990
2013-10-16,2007
2013-10-16,2028
2013-10-16,2078
2013-10-16,2092
2013-10-16,2106
2013-10-16,2187
2013-10-16,2244
2013-10-16,2294
2013-10-16,2323
2013-10-16,2340
2013-10-16,2393
2013-10-16,300069
2013-10-16,300173
2013-10-17,600006
2013-10-17,600050
2013-10-17,600067
2013-10-17,600191
2013-10-17,600252
2013-10-17,600269
2013-10-17,600271
2013-10-17,600295
2013-10-17,600551
2013-10-17,600584
2013-10-17,600585
2013-10-17,600601
2013-10-17,600623
2013-10-17,600635
2013-10-17,600643
2013-10-17,600747
2013-10-17,600748
2013-10-17,600749
2013-10-17,600776
2013-10-17,600782
2013-10-17,600816
2013-10-17,600830
2013-10-17,600880
2013-10-17,600881
2013-10-17,600987
2013-10-17,601000
2013-10-17,601098
2013-10-17,601727
2013-10-17,601991
2013-10-17,301
2013-10-17,402
2013-10-17,521
2013-10-17,563
2013-10-17,572
2013-10-17,589
2013-10-17,596
2013-10-17,601
2013-10-17,768
2013-10-17,830
2013-10-17,839
2013-10-17,910
2013-10-17,961
2013-10-17,969
2013-10-17,988
2013-10-17,990
2013-10-17,2007
2013-10-17,2028
2013-10-17,2078
2013-10-17,2092
2013-10-17,2106
2013-10-17,2187
2013-10-17,2244
2013-10-17,2294
2013-10-17,2323
2013-10-17,2340
2013-10-17,2393
2013-10-17,300069
2013-10-17,300173
2013-10-18,600006
2013-10-18,600050
2013-10-18,600062
2013-10-18,600067
2013-10-18,600166
2013-10-18,600191
2013-10-18,600267
2013-10-18,600271
2013-10-18,600295
2013-10-18,600456
2013-10-18,600486
2013-10-18,600500
2013-10-18,600510
2013-10-18,600521
2013-10-18,600522
2013-10-18,600551
2013-10-18,600584
2013-10-18,600596
2013-10-18,600635
2013-10-18,600643
2013-10-18,600720
2013-10-18,600724
2013-10-18,600725
2013-10-18,600747
2013-10-18,600749
2013-10-18,600776
2013-10-18,600782
2013-10-18,600798
2013-10-18,600816
2013-10-18,600830
2013-10-18,600992
2013-10-18,601098
2013-10-18,601107
2013-10-18,601727
2013-10-18,601991
2013-10-18,402
2013-10-18,415
2013-10-18,528
2013-10-18,563
2013-10-18,572
2013-10-18,596
2013-10-18,601
2013-10-18,636
2013-10-18,839
2013-10-18,877
2013-10-18,910
2013-10-18,969
2013-10-18,2007
2013-10-18,2078
2013-10-18,2092
2013-10-18,2156
2013-10-18,2187
2013-10-18,2242
2013-10-18,2244
2013-10-18,2335
2013-10-18,2422
2013-10-18,300058
2013-10-18,300307
2013-10-21,600006
2013-10-21,600050
2013-10-21,600062
2013-10-21,600067
2013-10-21,600166
2013-10-21,600191
2013-10-21,600267
2013-10-21,600271
2013-10-21,600295
2013-10-21,600456
2013-10-21,600486
2013-10-21,600500
2013-10-21,600510
2013-10-21,600521
2013-10-21,600522
2013-10-21,600551
2013-10-21,600584
2013-10-21,600596
2013-10-21,600635
2013-10-21,600643
2013-10-21,600720
2013-10-21,600724
2013-10-21,600725
2013-10-21,600747
2013-10-21,600749
2013-10-21,600776
2013-10-21,600782
2013-10-21,600798
2013-10-21,600816
2013-10-21,600830
2013-10-21,600992
2013-10-21,601098
2013-10-21,601107
2013-10-21,601727
2013-10-21,601991
2013-10-21,402
2013-10-21,415
2013-10-21,528
2013-10-21,563
2013-10-21,572
2013-10-21,596
2013-10-21,601
2013-10-21,636
2013-10-21,839
2013-10-21,877
2013-10-21,910
2013-10-21,969
2013-10-21,2007
2013-10-21,2078
2013-10-21,2092
2013-10-21,2156
2013-10-21,2187
2013-10-21,2242
2013-10-21,2244
2013-10-21,2335
2013-10-21,2422
2013-10-21,300058
2013-10-21,300307
2013-10-22,600006
2013-10-22,600050
2013-10-22,600062
2013-10-22,600067
2013-10-22,600166
2013-10-22,600191
2013-10-22,600267
2013-10-22,600271
2013-10-22,600295
2013-10-22,600456
2013-10-22,600486
2013-10-22,600500
2013-10-22,600510
2013-10-22,600521
2013-10-22,600522
2013-10-22,600551
2013-10-22,600584
2013-10-22,600596
2013-10-22,600635
2013-10-22,600643
2013-10-22,600720
2013-10-22,600724
2013-10-22,600725
2013-10-22,600747
2013-10-22,600749
2013-10-22,600776
2013-10-22,600782
2013-10-22,600798
2013-10-22,600816
2013-10-22,600830
2013-10-22,600992
2013-10-22,601098
2013-10-22,601107
2013-10-22,601727
2013-10-22,601991
2013-10-22,402
2013-10-22,415
2013-10-22,528
2013-10-22,563
2013-10-22,572
2013-10-22,596
2013-10-22,601
2013-10-22,636
2013-10-22,839
2013-10-22,877
2013-10-22,910
2013-10-22,969
2013-10-22,2007
2013-10-22,2078
2013-10-22,2092
2013-10-22,2156
2013-10-22,2187
2013-10-22,2242
2013-10-22,2244
2013-10-22,2335
2013-10-22,2422
2013-10-22,300058
2013-10-22,300307
2013-10-23,600006
2013-10-23,600050
2013-10-23,600062
2013-10-23,600067
2013-10-23,600166
2013-10-23,600191
2013-10-23,600267
2013-10-23,600271
2013-10-23,600295
2013-10-23,600456
2013-10-23,600486
2013-10-23,600500
2013-10-23,600510
2013-10-23,600521
2013-10-23,600522
2013-10-23,600551
2013-10-23,600584
2013-10-23,600596
2013-10-23,600635
2013-10-23,600643
2013-10-23,600720
2013-10-23,600724
2013-10-23,600725
2013-10-23,600747
2013-10-23,600749
2013-10-23,600776
2013-10-23,600782
2013-10-23,600798
2013-10-23,600816
2013-10-23,600830
2013-10-23,600992
2013-10-23,601098
2013-10-23,601107
2013-10-23,601727
2013-10-23,601991
2013-10-23,402
2013-10-23,415
2013-10-23,528
2013-10-23,563
2013-10-23,572
2013-10-23,596
2013-10-23,601
2013-10-23,636
2013-10-23,839
2013-10-23,877
2013-10-23,910
2013-10-23,969
2013-10-23,2007
2013-10-23,2078
2013-10-23,2092
2013-10-23,2156
2013-10-23,2187
2013-10-23,2242
2013-10-23,2244
2013-10-23,2335
2013-10-23,2422
2013-10-23,300058
2013-10-23,300307
2013-10-24,600006
2013-10-24,600050
2013-10-24,600062
2013-10-24,600067
2013-10-24,600166
2013-10-24,600191
2013-10-24,600267
2013-10-24,600271
2013-10-24,600295
2013-10-24,600456
2013-10-24,600486
2013-10-24,600500
2013-10-24,600510
2013-10-24,600521
2013-10-24,600522
2013-10-24,600551
2013-10-24,600584
2013-10-24,600596
2013-10-24,600635
2013-10-24,600643
2013-10-24,600720
2013-10-24,600724
2013-10-24,600725
2013-10-24,600747
2013-10-24,600749
2013-10-24,600776
2013-10-24,600782
2013-10-24,600798
2013-10-24,600816
2013-10-24,600830
2013-10-24,600992
2013-10-24,601098
2013-10-24,601107
2013-10-24,601727
2013-10-24,601991
2013-10-24,402
2013-10-24,415
2013-10-24,528
2013-10-24,563
2013-10-24,572
2013-10-24,596
2013-10-24,601
